PIVOT TABLES GROUPING TEST DOCUMENT,,,,,,,,,,
,,,,,,,,,,
2 - NUMERIC GROUPING,,,,,,,,,,
,,,,,,,,,,
2.1 - GROUPED NUMBERS (Field 2),,,,,,,,,,
"Min = auto, max = auto, step = 3",,,,"Min = 6, max = auto, step = 4",,,,"Min = auto, max = 7, step = 5",,
,,,,,,,,,,
Field 2,Field 1,Sum - Field 2,,Field 2,Field 1,Sum - Field 2,,Field 2,Field 1,Sum - Field 2
<1,Item 1.A,,,<6,Item 1.A,9,,<1,Item 1.A,
,Item 1.B,,,,Item 1.B,6,,,Item 1.B,
1-3,Item 1.A,4,,6-9,Item 1.A,16,,1-5,Item 1.A,9
,Item 1.B,2,,,Item 1.B,14,,,Item 1.B,6
4-6,Item 1.A,5,,10-13,Item 1.A,11,,6-7,Item 1.A,7
,Item 1.B,10,,,Item 1.B,22,,,Item 1.B,6
7-9,Item 1.A,16,,>12,Item 1.A,,,>7,Item 1.A,20
,Item 1.B,8,,,Item 1.B,,,,Item 1.B,30
10-12,Item 1.A,11,,Total Result,,78,,Total Result,,78
,Item 1.B,22,,,,,,,,
>12,Item 1.A,,,,,,,,,
,Item 1.B,,,,,,,,,
Total Result,,78,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2.2 - GROUP FIELD SETTINGS (Field 2),,,,,,,,,,
"Hide empty items, subtotal = auto",,,,"6-9 = hidden, 10-13 = collapsed",,,,,,
,,,,,,,,,,
Field 2,Field 1,Sum - Field 2,,Field 2,Field 1,Sum - Field 2,,,,
<6,Item 1.A,9,,<6,Item 1.A,9,,,,
,Item 1.B,6,,,Item 1.B,6,,,,
<6 Result,,15,,10-13,,33,,,,
6-9,Item 1.A,16,,>12,Item 1.A,,,,,
,Item 1.B,14,,,Item 1.B,,,,,
6-9 Result,,30,,Total Result,,48,,,,
10-13,Item 1.A,11,,,,,,,,
,Item 1.B,22,,,,,,,,
10-13 Result,,33,,,,,,,,
Total Result,,78,,,,,,,,
